,Vmag,Plx,e_Plx,B-V,SpType,Class,Abs_Vmag,L,T,R
51,7.38,0.72,0.93,1.197,K1III,Giant,-3.333337517843658,1842.872522960633,4850.0,42400633825.64544
52,8.99,10.03,1.16,0.647,G2IV/V,Dwarf,3.9965046651020906,2.15483737524414,5800.0,1013816700.9193628
53,7.81,4.32,1.96,1.082,G8V,Dwarf,0.9874187340745593,34.4435538942584,5200.0,5042611025.771384
54,4.96,4.79,0.74,-0.068,B8III,Giant,-1.6383224329271826,386.77284863056144,13000.0,2703643736.9791627
55,9.01,10.94,1.24,0.56,F7V,Dwarf,4.20508660998706,1.7781877998330196,6450.0,744693498.5929917
56,8.15,1.43,0.72,1.248,K2III,Giant,-1.07331981267469,229.84964490197464,4700.0,15945361923.595955
57,5.63,100.24,0.68,0.804,K0V,Dwarf,5.635205289930466,0.47632357159982586,5000.0,641385602.2455882
58,8.91,3.28,1.2,0.502,F5V,Dwarf,1.4893692185583962,21.692914577022076,6750.0,2374977971.9332232
59,7.67,3.52,0.8,0.983,K0III,Giant,0.4027133173906563,59.02032587783243,5000.0,7139519290.605031
60,7.91,2.52,0.74,1.0,K0III,Giant,-0.08299729609227846,92.31991276945462,5000.0,8929268095.084488
61,8.44,2.84,1.06,1.15,K1III,Giant,0.7065917002351867,44.61123880579589,4850.0,6597005451.095785
62,7.97,16.31,0.82,0.552,G0IV/V,Dwarf,4.032269805201377,2.0850080755638944,6000.0,931879050.3397791
63,8.19,2.95,0.66,0.073,A1V,Dwarf,0.5391100798908148,52.05233545282417,9750.0,1763270968.3829172
64,8.79,1.05,1.26,1.168,K1III,Giant,-1.1040535046503095,236.4492372515845,4850.0,15187757701.298399
65,8.16,1.93,0.74,1.459,K3III,Giant,-0.4122134549611296,125.02253863487967,4550.0,12548145382.30354
67,8.97,6.48,1.22,0.595,G3V,Dwarf,3.027875029352968,5.258784486653754,5700.0,1639838783.8353856
68,6.0,10.75,0.71,1.142,K1IIICN...,Giant,1.1570423212581211,29.461522763784533,4850.0,5361080104.23823
69,6.07,5.85,0.79,1.535,M0III,Giant,-0.09422066958909703,93.27923060294704,3500.0,18317431132.40545
70,8.36,3.32,1.08,1.158,K0III,Giant,0.9656904185201807,35.13983424259552,5000.0,5508939768.797393
71,7.58,0.57,0.91,1.644,M1III,Giant,-3.6406257216375426,2445.775610977941,3400.0,99393652296.45587
72,8.78,4.9,1.73,0.474,F5V,Dwarf,2.2309804001425686,10.956172763765153,6750.0,1687835312.1508887
73,9.2,1.32,1.19,1.652,M1III,Giant,-0.19713034397075013,102.55358473383302,3400.0,20352875088.655563
74,9.35,26.92,1.21,0.951,K1V,Dwarf,6.500375277759696,0.21469260765599193,4850.0,457649768.2484075
75,8.92,11.51,1.3,0.495,F5V,Dwarf,4.2253766181489585,1.7452643780859407,6750.0,673645239.5685776
76,7.93,7.28,0.97,0.436,F2V,Dwarf,2.240656896565186,10.85895624765666,7200.0,1476852856.288058
77,9.95,6.12,1.62,0.476,F5/F6V,Dwarf,3.8837571107278066,2.3906485511592783,6750.0,788421575.5521562
78,8.13,4.62,1.0,0.999,K0III,Giant,1.4532098777806297,22.427576792396486,5000.0,4401080841.640557
79,6.22,4.5,0.73,0.97,G7II-III,Giant,-0.5139374311232814,137.30296034105749,5300.0,9691620274.63275
80,8.99,1.59,1.53,0.979,G8III/IV,Dwarf,-0.0030143783977436556,85.76313499985164,5200.0,7957045018.644597
81,9.36,8.38,2.39,0.547,F7V,Dwarf,3.9762200931513814,2.195476165902893,6450.0,827471629.5412365
82,7.91,5.53,0.62,0.314,F0III/IV,Dwarf,1.6236256565234921,19.16958428352709,7500.0,1808389593.0739295
83,8.79,5.53,1.12,0.333,F0V,Dwarf,2.503625656523491,8.52305745139577,7500.0,1205822434.34917
84,9.55,4.78,1.13,0.473,F5V,Dwarf,2.947139483060594,5.664755592769835,6750.0,1213643743.1581132
85,6.97,5.66,0.78,1.163,K2IIICN...,Giant,0.7340821559413566,43.49582385519822,4700.0,6936433758.994712
86,6.6,4.92,0.6,1.085,K0III,Giant,0.05982551383680246,80.94004791542277,5000.0,8360839728.674557
87,8.11,5.9,1.04,0.906,G8III/IV,Dwarf,1.964260058210721,14.007229543364163,5200.0,3215715463.6965218
88,8.89,5.21,1.14,0.402,F2V,Dwarf,2.4741886164976243,8.757311741032009,7200.0,1326259752.8986456
89,9.73,2.7,1.52,0.476,F5V,Dwarf,1.8868188207949377,15.042854720487442,6750.0,1977724362.7023938
90,6.23,1.42,0.84,-0.036,B9.5III,Giant,-3.008558278084717,1366.3980131163796,11500.0,6493832893.762253
91,9.22,5.18,1.48,0.537,F7V,Dwarf,2.7916487987261664,6.537030385574646,6450.0,1427838214.0756118
92,8.49,6.86,1.19,0.38,F0V,Dwarf,2.6716205785337586,7.30119837565975,7500.0,1116047620.7790592
93,8.89,5.75,2.28,0.991,G8III,Giant,2.6883392234481533,7.189627043538498,5200.0,2303852508.691609
94,7.94,13.98,0.87,0.407,F3V,Dwarf,3.667535857048314,2.917483995055307,7050.0,798425107.8505121
95,7.51,4.76,0.98,1.473,K4V,Dwarf,0.8980347636024657,37.399284958676915,4400.0,7338959228.654225
96,9.53,5.26,1.39,0.94,G8IV,Dwarf,3.1349287207686967,4.764987816395338,5200.0,1875566160.566519
97,8.02,1.24,1.03,1.521,K3/K4III:,Giant,-1.5128915741888243,344.5729434317393,4550.0,20831760388.30731
98,6.72,5.63,0.57,0.394,F2/F3III,Giant,0.47254197425673006,55.34377375356918,7200.0,3334091929.4362736
99,8.28,11.59,0.92,0.476,F5V,Dwarf,3.6004171798179794,3.1035394557926126,6750.0,898316275.7723446
100,10.12,4.68,1.27,0.459,F3/F5IV/V,Dwarf,3.4712292653706207,3.4957065912393395,7050.0,873971823.162014
101,7.03,12.7,0.8,0.34,F0IV,Dwarf,2.5490186047797856,8.174051042305978,7500.0,1180876076.7483127
102,9.64,6.65,1.57,1.012,K0/K1IV:,Dwarf,3.7541082265155232,2.6938774481861145,5000.0,1525306381.0695376
103,6.26,6.95,1.01,0.965,G8II,Giant,0.46992402295056834,55.477387472746315,5200.0,6399698170.824979
104,6.37,9.42,0.79,1.006,K0III,Giant,1.2402545139643877,27.287809799153617,5000.0,4854589469.27301
105,9.79,10.73,1.65,0.545,G2V,Dwarf,4.942998609829754,0.9011525943315127,5800.0,655618741.8440293
106,5.88,6.0,0.77,-0.014,A0IV,Dwarf,-0.22924374808178172,105.63232474778209,10000.0,2387847556.61097
107,7.62,13.2,0.93,0.465,F5V,Dwarf,3.22286965602925,4.3942391968618555,6750.0,1068913297.1650076
108,8.91,5.49,1.11,0.813,G6/G8V,Dwarf,2.60786172225046,7.742816073131191,5400.0,2217022651.263051
109,8.33,8.07,1.26,0.554,F7IV,Dwarf,2.864367673610351,6.113522654376988,6450.0,1380811871.296482
110,6.75,4.87,0.84,0.996,K0III,Giant,0.18764480607317324,71.95040295355511,5000.0,7882877634.425413
112,7.28,6.82,0.99,1.168,K2III,Giant,1.4489218732823943,22.516331726918054,4700.0,4990697901.492284
113,6.43,3.23,0.86,1.595,M0III,Giant,-1.0239873883444854,219.6392230456055,3500.0,28107811941.20924
114,8.95,1.38,1.02,1.549,K3III,Giant,-0.3506045679938179,118.1254697838705,4550.0,12197116150.586723
115,8.42,7.13,1.06,0.425,F2V,Dwarf,2.685447649259329,7.208801195778942,7200.0,1203302197.9727507
116,8.57,2.24,1.02,1.459,K3III,Giant,0.32124009167081446,63.619828365399655,4550.0,8951207644.632956
117,7.48,6.68,1.41,0.949,G8IV...,Dwarf,1.6038823123777295,19.521375713537445,5200.0,3796266576.2823653
118,9.34,3.04,1.45,0.856,G5III,Giant,1.7543679180437692,16.994689060430005,5500.0,3166207774.9328685
119,6.77,11.85,0.88,0.328,F0Vn,Dwarf,2.1385917517306137,11.929332545885089,7500.0,1426572094.228629
120,8.28,6.03,1.08,0.473,F0III,Giant,2.1815865607007563,11.466143626096187,7500.0,1398602629.6202304
121,8.4,3.24,0.74,1.04,K0III,Giant,0.9527250510330614,35.56199447364406,5000.0,5541932411.424312
122,9.58,8.28,1.33,0.547,F8/G0V,Dwarf,4.1701516839244,1.836336567747844,6300.0,793237470.3369656
123,8.82,15.28,1.18,0.602,G1V,Dwarf,4.740616771198356,1.0858130239596118,5900.0,695475248.7245742
124,9.02,1.57,1.36,1.096,K0III,Giant,-0.0005017379538330147,85.56487936668461,5000.0,8596386649.559835
125,7.11,8.54,0.77,0.997,K0III/IV,Dwarf,1.7672893534450242,16.793622832238704,5000.0,3808380803.550974
126,8.55,34.04,0.86,0.854,K3V,Dwarf,6.209947757062753,0.28053935994865914,4550.0,594404770.2422236
127,5.96,4.68,0.53,1.397,K3III,Giant,-0.6887707346293777,161.29342173136385,4550.0,14252587398.138163
128,4.34,23.73,0.68,0.17,A7Vvar,Dwarf,1.2164886910866954,27.891731453887278,8250.0,1802760438.5485077
129,8.42,4.44,0.95,0.472,F3/F5V,Dwarf,1.6569148505730986,18.590726575784615,7050.0,2015478298.405789
130,8.56,4.13,0.96,0.446,F3V,Dwarf,1.6397502582820067,18.886980740052643,7050.0,2031473742.2325616
131,9.95,0.6,1.66,0.251,B8V,Dwarf,-1.159243748081785,248.77979088040868,13000.0,2168348196.437628
132,9.06,0.28,0.76,1.433,K3III,Giant,-3.7042098432889023,2593.2925182126496,4550.0,57149329405.91461
133,5.37,6.4,0.78,1.517,K4III,Giant,-0.5991001300805632,148.50690692210162,4400.0,14624335842.074581
134,8.17,2.8,0.98,1.11,K0III,Giant,0.4057901567110971,58.85329830685477,5000.0,7129409710.262881
135,8.73,5.51,0.84,0.563,F7IV,Dwarf,2.4357579942589247,9.072851725176566,6450.0,1682134259.007312
136,9.06,4.63,1.4,0.513,F6V,Dwarf,2.387904955089768,9.481694727280981,6600.0,1642340836.7667236
137,7.53,2.45,0.87,1.419,K3III,Giant,-0.5241695781773359,138.6031053983672,4550.0,13212100408.289938
138,7.04,7.5,0.84,1.06,K1III,Giant,1.4153063169584996,23.22440096751736,4850.0,4759890497.328546
139,7.78,20.49,0.81,0.641,G1/G2IV/V,Dwarf,4.337709792005976,1.5737137860666315,5900.0,837272890.8442851
140,7.73,19.78,0.87,0.537,G0V,Dwarf,4.211131436305804,1.768314780493695,6000.0,858193984.8991337
141,8.75,1.62,1.07,0.756,G8IV,Dwarf,-0.20242492728684525,103.0549324367489,5200.0,8722397662.20284
142,9.48,6.33,1.54,0.395,F2/F3V,Dwarf,3.487018550086777,3.4452357849439723,7200.0,831864632.7346958
143,7.07,5.15,0.82,0.99,G6III,Giant,0.6290361452059567,47.91461778350894,5400.0,5515116272.692391
144,8.65,6.41,1.3,0.431,F3V,Dwarf,2.684290147594087,7.2164909631792264,7050.0,1255720489.230666
145,8.9,4.7,1.3,0.576,G1V,Dwarf,2.2604892896785884,10.662394244838037,5900.0,2179372786.0169516
146,8.28,2.63,0.75,0.912,G6III,Giant,0.3797787424487904,60.28036639966372,5400.0,6185981267.776947
147,5.83,6.48,0.58,1.042,G9III-IV,Dwarf,-0.11212497064703264,94.83027876122176,5100.0,8698439354.21742
148,8.74,6.25,1.07,0.556,F8IV,Dwarf,2.719400086720377,6.986849799707352,6300.0,1547275978.391316
149,8.24,1.92,1.02,0.926,K0III,Giant,-0.34349385648225095,117.3543316678393,5000.0,10067409449.318727
150,8.04,10.74,1.07,0.53,F8IV-V,Dwarf,3.195021406817684,4.508411409464687,6300.0,1242907617.3848197
151,9.1,4.65,1.28,1.241,K2III,Giant,2.43726476444977,9.06026865852068,4700.0,3165796542.7968955
152,8.18,4.01,0.97,0.096,A1V,Dwarf,1.1957218631009106,28.430376697071427,9750.0,1303137534.7836888
153,7.6,9.44,1.08,0.492,F6V,Dwarf,2.4748599714903445,8.751898146058146,6600.0,1577870783.87945
154,6.04,1.31,0.63,1.88,K5Ib,Giant,-3.3736435217211778,1912.5750577597273,4250.0,56252206487.14206
155,8.41,5.88,0.88,0.341,F0V,Dwarf,2.256886630380693,10.697834406488406,7500.0,1350932305.3662083
157,5.9,0.89,0.58,0.274,A1III,Giant,-4.353049966775435,4714.116342071092,9750.0,16780275828.761667
158,9.15,6.8,1.92,0.987,G8/K0III,Giant,3.3125445635311817,4.045870426781115,5200.0,1728253623.8100948
159,8.87,8.34,4.64,0.43,F2V,Dwarf,3.4758302531886933,3.4809235721720952,7200.0,836162005.3329207
161,8.96,5.2,1.26,0.611,G2V,Dwarf,2.540016718173998,8.242107539250394,5800.0,1982765390.964509
162,8.98,7.41,1.12,0.443,F2/F3V,Dwarf,3.3290910398966407,3.9846763711906656,7200.0,894622286.3338428
163,7.69,2.97,1.11,1.45,K4III,Giant,0.053782246586063565,81.39184302855828,4400.0,10826629298.378235
164,7.43,0.99,2.18,0.09,B7V,Dwarf,-2.591824027012251,930.8406458126098,14500.0,3371396591.6606364
165,9.07,5.36,1.15,0.488,F5V,Dwarf,2.715823948463852,7.009901776029204,6750.0,1350070970.666807
166,8.73,4.91,1.22,0.344,F0/F2IV,Dwarf,2.1854074606148437,11.425861160586955,7500.0,1396143706.4920514
167,8.13,3.23,1.26,1.001,K0III,Giant,0.6760126116555156,45.885611013498504,5000.0,6295155022.829762
168,9.59,9.63,2.94,0.737,G5V,Dwarf,4.508131435622673,1.3450974385206353,5500.0,890757878.6736313
169,9.32,4.82,1.18,0.511,F5V,Dwarf,2.735235191194249,6.885683466012972,6750.0,1338055600.1295447
170,6.05,16.13,0.52,0.338,F0III,Giant,2.0881718369448095,12.496405266049328,7500.0,1460085211.7787452
171,7.83,4.04,0.71,0.173,A4V,Dwarf,0.8619068255530262,38.66474796135744,9000.0,1783531365.774791
172,3.99,10.84,0.79,1.554,K5/M0III,Giant,-0.8348535889881585,184.52391712777862,4250.0,17472564448.81691
173,9.63,1.3,1.82,0.385,F0V,Dwarf,0.1997167615341855,71.15480147663186,7500.0,3484077102.475301
174,5.74,5.08,0.58,0.898,G8III,Giant,-0.7306814385804028,167.64158556804804,5200.0,11124804074.702173
175,8.2,13.95,1.02,0.525,F7V,Dwarf,3.922871038048081,2.3060535939456392,6450.0,848053883.7365716
176,8.72,5.64,1.2,0.267,A2III,Giant,2.4763955199167125,8.739528545331114,9500.0,761035595.9528126
177,5.59,0.94,0.64,0.325,B8Ib,Giant,-4.544360732001506,5622.485692777671,13000.0,10308266868.29999
178,6.02,4.52,0.69,-0.042,B5III,Giant,-0.7043078259430899,163.61827018384116,17500.0,970393725.0714542
179,9.51,0.44,1.47,-0.08,B8/B9V,Dwarf,-2.2727366175690644,693.7997032068874,13000.0,3621083410.2922196
180,9.21,7.62,1.3,0.404,F2V,Dwarf,3.6197748566980046,3.048693888542856,7200.0,782528377.5319917
181,8.52,2.2,1.24,1.084,K1III,Giant,0.23211340411103087,69.06291708383536,4850.0,8208185456.504396
182,8.06,2.79,0.95,1.03,G5II,Giant,0.2880210163679866,65.59651630464523,5500.0,6220469818.71451
183,8.34,2.65,0.75,1.268,K2III,Giant,0.4562293696840385,56.18160362874574,4700.0,7883326761.696033
184,8.84,4.32,0.97,1.202,K2III,Giant,2.0174187340745604,13.33790843296585,4700.0,3841106320.167121
185,8.74,3.29,1.14,0.892,G8III,Giant,1.325979489749873,25.216047028024153,5200.0,4314594585.302485
186,9.85,7.81,1.57,0.583,G0V,Dwarf,4.313255169386501,1.6095633649216945,6000.0,818765843.7392855
187,8.45,3.35,1.07,0.045,A1Vvar,Dwarf,1.0752240351842257,31.767578458186584,9750.0,1377498081.599192
188,8.47,6.57,1.1,0.337,F0V,Dwarf,2.5578268477989035,8.108002522741758,7500.0,1176095502.7474802
190,7.87,4.97,0.99,1.061,K0III,Giant,1.3517819436666603,24.623825089421132,5000.0,4611539454.145967
191,9.45,9.38,1.24,0.566,F8V,Dwarf,4.311014191895323,1.612889124615205,6300.0,743411605.0284812
192,8.96,7.19,1.2,0.483,F5V,Dwarf,3.243644451914413,4.310953788429547,6750.0,1058735112.5870262
193,8.59,2.45,1.19,1.033,K0III,Giant,0.5358304218226628,52.209814186593604,5000.0,6714972580.0288
194,8.26,4.52,1.02,1.14,K1III,Giant,1.5356921740569103,20.786808462875282,4850.0,4503172758.6433115
195,5.96,9.89,0.88,0.851,G5V...,Dwarf,0.9359814579858963,36.11468873457789,5500.0,4615563577.381054
196,9.47,1.88,1.11,0.981,G6/G8IV,Dwarf,0.8407892463184012,39.424176447268366,5400.0,5002671360.403904
197,6.59,3.54,0.73,-0.03,A0III,Giant,-0.664983689871061,157.7979548868482,10000.0,2918494395.4677286
198,8.12,4.45,0.85,0.436,F0III,Giant,1.3618000549046574,24.397654471067995,7500.0,2040138679.8295913
199,9.13,12.93,1.4,0.652,G5V,Dwarf,4.687992624401971,1.1397398639074472,5500.0,819946787.7200811
200,9.26,3.98,1.36,0.433,F3V,Dwarf,2.259415360368438,10.67294642613592,7050.0,1527116287.778848
201,8.34,6.18,0.83,0.386,F2IV,Dwarf,2.29494237544408,10.329346016700708,7200.0,1440388344.877254
202,8.55,2.13,1.75,0.98,G8III,Giant,0.19189801719368837,71.66908544468785,5200.0,7273901613.398672
203,7.53,2.53,0.78,1.017,K0III,Giant,-0.4543973941209085,129.97586522596546,5000.0,10594965049.107594
204,8.95,4.78,1.15,0.392,F3V,Dwarf,2.3471394830605927,9.844484009947863,7050.0,1466649786.8684134
205,9.63,12.73,1.69,0.827,K1IV,Dwarf,5.154142018268278,0.7418854063462225,4850.0,850732678.570432
206,9.08,1.28,1.27,1.453,M3III,Giant,-0.38395015176065783,121.80985801112706,3200.0,25040871542.381824
207,9.45,0.17,1.18,1.361,K2/K3IV,Dwarf,-4.397755393108628,4912.2826150251285,4700.0,73714705537.55154
208,0.45,22.68,0.57,-0.158,B3Vp,Dwarf,-2.771784748895654,1098.6596156836565,20500.0,1832449593.0859487
209,6.71,6.94,0.71,1.109,K1III,Giant,0.9167973522742745,36.75850966668441,4850.0,5988301371.44262
210,2.4,42.14,0.78,1.083,K0III...,Giant,0.5234726563604077,52.807486465507196,5000.0,6753298061.349965
211,8.08,3.8,0.75,1.242,K3IIICN...,Giant,0.9789179830840506,34.714300855813505,4550.0,6612102794.672501
212,7.72,8.2,1.03,0.416,F3V,Dwarf,2.2890692619185824,10.385375088711399,7050.0,1506402534.8269103
213,9.53,7.31,1.24,0.54,F7V,Dwarf,3.8495868847893018,2.467087180224716,6450.0,877164400.245314
214,7.14,0.95,0.89,1.575,M0III,Giant,-2.9713819735557614,1320.4013815507226,3500.0,68916795412.4835
215,8.55,7.02,0.73,0.347,F0IV/V,Dwarf,2.781685560649027,6.597296373355287,7500.0,1060885830.7167153
216,6.75,7.5,0.92,1.127,K1II,Giant,1.1253063169585005,30.335434172698108,4850.0,5440011388.085158
217,9.63,7.02,1.47,0.586,G0V,Dwarf,3.8616855606490272,2.43974697757188,6000.0,1008040711.1373057
218,7.55,9.73,0.98,1.0,K1III,Giant,2.49056420134176,8.626214525804398,4850.0,2900913829.899967
219,9.85,1.65,1.35,1.176,K2III:,Giant,0.9374197210695314,36.06687732227131,4700.0,6316357954.406511
220,9.11,1.3,0.93,1.221,K2III,Giant,-0.32028323846581586,114.87206322577852,4700.0,11272485189.846893
221,8.94,7.97,1.03,0.676,G5VCN...,Dwarf,3.4472916069805617,3.573637582418426,5500.0,1451904505.360564
222,8.13,3.87,0.74,1.527,K4III,Giant,1.068554825094557,31.96332319702391,4400.0,6784670933.911545
223,7.9,4.02,0.96,1.198,K1III,Giant,0.9211302654223505,36.61210040857685,4850.0,5976363761.222353
224,8.53,4.31,1.2,1.379,K3III,Giant,1.702386350803657,17.828174266827215,4550.0,4738477474.782667
225,5.45,2.45,0.68,1.644,K5III,Giant,-2.6041695781773377,941.4858596984843,4250.0,39467282039.711754
226,8.59,1.54,1.23,1.222,K2III,Giant,-0.4723963958176842,132.14863186082326,4700.0,12090487106.162071
227,9.7,5.97,1.38,0.893,G8V,Dwarf,3.579871655646844,3.162830251893921,5200.0,1528056572.7057593
228,8.1,13.04,1.11,0.595,F6V,Dwarf,3.6763879569795073,2.8937930446074076,6600.0,907306540.6066024
229,8.21,3.67,1.12,1.013,G8III,Giant,1.033330321260447,33.01736565083122,5200.0,4937108833.487225
230,7.06,5.77,0.86,1.52,K5III,Giant,0.865879065778655,38.523541866729275,4250.0,7983501718.723997
231,7.29,5.38,0.95,1.064,K0III,Giant,0.9439113783319453,35.85186498761084,5000.0,5564473083.17881
232,9.36,2.07,1.2,0.502,F6IV/V,Dwarf,0.939851727284589,35.98617539864306,6600.0,3199544491.129356
234,6.92,1.47,0.61,1.571,M4III,Giant,-2.2434133262591196,675.3116119166143,3100.0,62825636836.38498
235,9.26,8.64,1.41,0.788,G8IV/V,Dwarf,3.9425687123944666,2.2645918489930468,5200.0,1292993855.731592
236,9.21,1.13,0.94,1.074,K0III,Giant,-0.5246077825828994,138.65905981166648,5000.0,10943148567.476265
237,7.69,5.21,0.98,0.354,A9III,Giant,1.274188616497625,26.448093526169863,7750.0,1989307680.8533814
238,8.57,9.21,1.08,0.463,F5V,Dwarf,3.3912981509842464,3.7627814003139695,6750.0,989133992.7010089
239,6.48,5.16,0.8,0.122,A3V,Dwarf,0.043248508136056074,82.18538328962386,9250.0,2461625632.373697
240,8.56,3.58,1.67,1.132,K1IIICN...,Giant,1.3294151332193724,25.136376974014535,4850.0,4951947614.671873
242,8.18,9.48,1.05,0.487,F7IV,Dwarf,3.0640416866903326,5.086487716326069,6450.0,1259498774.4282153
243,8.58,3.38,1.29,1.535,M2III,Giant,1.224583501388274,27.68454511642616,3300.0,11225326836.012697
244,7.86,3.81,0.92,0.941,G8III,Giant,0.7646248783780969,42.289239245284776,5200.0,5587485736.610702
245,8.14,0.92,1.07,1.599,K5III,Giant,-2.0410608632722234,560.4788889164049,4250.0,30451588183.170002
246,3.46,27.73,0.71,1.161,K2III,Giant,0.6747493478893096,45.93903302621716,4700.0,7128585901.656815
247,8.62,11.34,1.07,0.587,G0V,Dwarf,3.8930652727844386,2.3702398072846695,6000.0,993577667.9304343
248,8.38,2.3,1.11,1.298,K2III,Giant,0.1886391800879661,71.88453394511444,4700.0,8917234617.28354
